Tweet_lemmatized
"['adwoadomfeh', 'chill']"
['rwitkowski']
"['timmy', 'battery', 'pack', 'body']"
"['btsworldwider', 'supporting', 'energy']"
"['theonlylone', 'thought', 'head', 'empty']"
"['aleabos', 'touché']"
"['ethanf', 'filling', 'void']"
"['minoootaur', 'twitter', 'notification', 'dream']"
"['sherol', 'pm']"
"['supbrewer', 'wanted', 'talk']"
"['daarkshadoww', 'yeah', 'taking', 'quick', 'nap']"
"['meetmarleen', 'tweet', 'sleep']"
"['fknsaturnian', 'good']"
"['mattbc', 'silly']"
"['stonemountain', 'wow', 'impressive']"
"['moemoola', 'yeah', 'audience']"
"['quilllifelight', 'cool', 'pretend', 'didnt']"
"['coachgonzojr', 'talk', 'baby', 'bed', 'hour', 'ago']"
"['noyesseen', 'conversation', 'hour', 'sleep']"
"['reecedeclan', 'sun', 'rising', 'httpstcopffsxjaeo']"
['johnnjenga']
"['mkachi', 'good', 'morning', 'happy', 'blursday']"
"['kungfulillz', '👀']"
"['sandywillimot', 'whats', 'day', 'time', 'speak']"
['youravocadoph']
"['kungfulillz', 'yeah', 'bird']"
"['stormclouds', 'here', 'hoping', 'c']"
['iramizhasan']
"['samsheffer', 'gotta', 'set']"
"['bobayconner', 'thought']"
"['bourbonbellepr', 'nocturnal', 'bird', 'fish']"
"['mackieloveslou', 'people', 'wont', 'wait', 'morning', 'read']"
"['frimas', 'looked', 'shoe', 'knew']"
"['deadlyibbe', 'tow', 'pull', 'allnighter']"
"['lighthedarkness', 'formal', 'twitter', 'fine']"
['colleensteddy']
"['bluejaylover', 'otis', 'feel', 'personally', 'addressed']"
"['glaad', 'celebrating', 'lesbianvisibilityday']"
"['roooossshhiiiii', 'wed', 'blanket']"
"['coffeemaestro', 'strong', 'coffee']"
"['usbakon', 'whats', 'breakfast']"
"['sasburneracct', 'thinking', 'dance']"
"['dylann', 'find', 'day']"
"['rmsek', 'stop', 'drinking', 'coffee', 'dessert']"
['zebbzebb']
"['yasscorsett', 'tweeted', 'lucid', 'dream']"
"['theearth', '', 'baby']"
"['ffstaelon', 'weakness', 'sign', 'sleeping']"
['who']
"['russpalmer', 'igruyhiojpkefogsjihuoaehijpks']"
"['jizungg', 'justhadcoffeejdksldhslsxndcskls']"
"['deancoxj', 'autocorrect']"
"['taeversaces', 'thatstruekdllsjsjsslslls']"
"['melodyasbts', 'agree']"
"['phaubertin', 'meowiegiafojwqpkefwgrjishugfewojmeow']"
"['malikofori', 'opuiytdfugihojpkaseihfueyaeiujorkanrsgfbuihjo', 'griueihojpkjgie']"
"['moonchildpjms', 'feeling', 'beautiful']"
"['officialjlipper', 'release', 'treat']"
"['ambreen', 'water', '', 'glass', 'day']"
['highyoungwon']
"['ahhhhfdsjkhfjskhfjkldshfkljsdhfkjdhfkjlshdfkljsdhfjkdshfjksdhfjdksfhjkdshfjsdhfjkshfjksdfhjksdhfjksdfhjkdsfh\n\nyour', 'turn']"
"['goodbeanalt', 'side', 'potato', 'httpstcojylpytpr']"
"['honeyboughbough', 'dog', 'continue', 'owner', 'httpstcompccgwyd']"
"['goingsupernova', 'command', 'httpstcontllkrmb']"
"['jowkjowk', 'eat', 'httpstcolnccrfpgb']"
"['lucamangogna', 'million', 'bell', 'httpstcoiyqcxzkx']"
"['capitandmart', 'brrr', 'cold', 'httpstcozndhsx']"
"['stephenathome', 'delay', 'bleach', 'set', 'httpstcoiehtsgg']"
"['deliacazzato', 'adding', 'color', 'life', 'httpstcoqyrmcfrfni']"
"['miguelmbarrios', 'mop', 'hair', 'httpstcoizpehxznl']"
"['lauriemarch', 'tp', 'needed', 'httpstcogenrkteri']"
"['drstyls', 'nah', 'good', 'httpstcogkpdhtaus']"
"['anthonyvossovic', 'haircut', '', 'clean', '', 'httpstcowcnwdfki']"
"['mattmcgowan', 'worry', '', 'hour', 'httpstcoiuhsgo']"
"['timbersfc', 'haroldhanson', 'give', 'fitness', 'class']"
"['callherthato', 'honestly', 'change', 'thing']"
"['yusufahmedng', 'baby', 'httpstcotefclflv']"
"['spamspam', 'job']"
"['itsnourr', 'ball', 'httpstcoyiytvsj']"
"['konni', 'corset', 'pictured', 'httpstcobksfoxst']"
"['brfootball', 'touch', 'single', 'hair', 'head']"
"['alexorue', 'leader', 'leia', 'httpstcojkaywznls']"
"['callistoa', 'send']"
"['malaytripathi', 'edge', 'httpstconrgwgt']"
"['lamarrwilson', 'flotation', 'device', 'needed', 'hair', 'water', 'time', 'httpstcoffxwmnti']"
"['francescakessy', 'haircut', '✔️\nroyal', 'status', '✔️', 'httpstcolfwqodpw']"
"['bevalynekwambo', 'hair', 'hope', 'lost', 'today', 'httpstcovcjkcbk']"
"['pratimdgupta', 'theyll', 'catalog', 'httpstcobwaffj']"
"['emanuelsdn', 'chasing', 'waterfall', 'chasing', 'diner', 'httpstcoriiubgjps']"
"['chelseafcinusa', 'hair', 'showing', 'loyalty', 'club', 'httpstcorgjtnubhl']"
"['etherealbhatt', 'needed', 'natural', 'httpstcoldynbhtsa']"
"['chefconsultant', 'recipe', 'coming', 'cookbook', 'httpstcoshzagcxu']"
"['mkobach', 'bathroom', 'box', 'dye', 'let', 'httpstcokjtnjhx']"
